author,year,N,n_exp,n_ctrl,analysis_n,design_family,region,country,income_status,outcome_name,outcome_type,cognitive_outcome,mental_health_outcome,brain_outcome,behavioral_outcome,predictor_category,d_computed,d_se,transformed_effect_type,original_effect_size,effect_size_type_orig,es_pool,conversion_method,effect_size_SE,QC_flag,analysis_family
Sun,2025,8015.0,,,1,observational,Asia,Thailand,upper-middle income,memory score,continuous,yes,no,no,no,environmental,-0.7766756204804073,0.4543087895491575,Cohen's d,-0.362,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.184,,d_from_std_beta
Sun,2025,8015.0,,,2,observational,Asia,Thailand,upper-middle income,memory score,continuous,yes,no,no,no,environmental,-1.2898949911885973,0.49873165417288773,Cohen's d,-0.542,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.148,,d_from_std_beta
Sun,2025,8015.0,,,3,observational,Asia,Thailand,upper-middle income,memory score,continuous,yes,no,no,no,environmental,0.18883612912588646,0.579665895190365,Cohen's d,0.094,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.286,,d_from_std_beta
Sun,2025,5425.0,,,4,observational,Asia,Thailand,upper-middle income,calculation score,continuous,yes,no,no,no,environmental,0.3659776557130101,0.3992452952636071,Cohen's d,0.18,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.19,,d_from_std_beta
Sun,2025,5425.0,,,5,observational,Asia,Thailand,upper-middle income,calculation score,continuous,yes,no,no,no,environmental,0.6335833198450236,0.5979021973001128,Cohen's d,0.302,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.259,,d_from_std_beta
Sun,2025,5425.0,,,6,observational,Asia,Thailand,upper-middle income,calculation score,continuous,yes,no,no,no,environmental,0.7182731702949687,0.48462990635801106,Cohen's d,0.338,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.202,,d_from_std_beta
Sun,2025,6616.0,,,7,observational,Asia,Thailand,upper-middle income,orientation to time score,continuous,yes,no,no,no,environmental,-0.21727084017939854,0.24833212462277243,Cohen's d,-0.108,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.122,,d_from_std_beta
Sun,2025,6616.0,,,8,observational,Asia,Thailand,upper-middle income,orientation to time score,continuous,yes,no,no,no,environmental,-0.5563519600078055,0.24155067155641652,Cohen's d,-0.268,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.108,,d_from_std_beta
Sun,2025,6616.0,,,9,observational,Asia,Thailand,upper-middle income,orientation to time score,continuous,yes,no,no,no,environmental,-0.8015231271261262,0.4476230004176966,Cohen's d,-0.372,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.179,,d_from_std_beta
Sun,2025,8015.0,,,10,quasi-experimental,Asia,Thailand,upper-middle income,memory score,continuous,yes,no,no,no,environmental,-0.6637925705561922,0.39769893735968165,Cohen's d,-0.315,standardized coefficient,d_from_std_beta,std_beta_as_r_to_d: d=2r/sqrt(1-r2),0.17,,d_from_std_beta
